Japanese,Chinese,Example_JP,Example_CN,Example_Furigana,Grammar_Notes,Audio_Path
怖い,可怕的,夜道は怖いので一人で歩きません。,夜路很可怕，所以我不独自走。,<ruby>夜道<rt>よみち</rt></ruby>は<ruby>怖い<rt>こわい</rt></ruby>ので<ruby>一人で<rt>ひとりで</rt></ruby><ruby>歩きません<rt>あるきません</rt></ruby>。,<ol><li>夜道（よみち）：指晚上的道路或夜路。<br>怖い（こわい）：形容词，意为“可怕的”。<br>ので：表示原因或理由，意思是“因为……所以……”。<br>一人で（ひとりで）：表示独自、一个人。<br>歩きません（あるきません）：动词“歩く”（走）的否定形式，表示“不走”。</li><li>日语中，句末加「ません」表示否定；其中「ので」为书面语气的因果连词，比「から」更柔和常用于解释理由。</li></ol>,[sound:jlpt_vocabulary_in_sentence_怖い.mp3]
包む,包裹,プレゼントを紙で包む。,用纸把礼物包起来。,プレゼントを<ruby>紙<rt>かみ</rt></ruby>で<ruby>包む<rt>つつむ</rt></ruby>。,<ol><li>プレゼント：礼物。</li><li>紙（かみ）：纸张。</li><li>で：格助词，表示动作发生的手段、工具，这里指“用纸”。</li><li>包む（つつむ）：动词，表示“包裹、包起来”。</li><li>语法知识：“を”用于宾语标记，“で”表示手段，“包む”作谓语，句型是“名词を名词で动词”，表示“用……把……做某事”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_包む.mp3]
なるべく,尽量，尽可能,なるべく早く返事をください。,请尽量早点回复。,<ruby>なるべく<rt>なるべく</rt></ruby><ruby>早く<rt>はやく</rt></ruby><ruby>返事<rt>へんじ</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>ください<rt>ください</rt></ruby>。,<ol><li>なるべく：副词，意思是“尽量、尽可能”。用于表达希望尽可能做到某件事。</li><li>早く（はやく）：形容词“早い”的副词形，意思是“早点、尽早”。</li><li>返事（へんじ）：名词，意思是“回复、答复”。</li><li>を：助词，表示宾语。</li><li>ください：用于请求对方做某事，相当于“请......”。</li><li>句型“〜をください”：礼貌地请求对方给予或做某件事。</li></ol>,[sound:jlpt_vocabulary_in_sentence_なるべく.mp3]
無理,勉强，不可能,そんなに無理しなくても大丈夫です。,不用那么勉强也没关系。,<ruby>そんなに<rt>そんなに</rt></ruby><ruby>無理<rt>むり</rt></ruby><ruby>しなくても<rt>しなくても</rt></ruby><ruby>大丈夫<rt>だいじょうぶ</rt></ruby><ruby>です<rt>です</rt></ruby>。,<ol><li>そんなに：副词，表示“那么、那样”。</li><li>無理（むり）：名词、形容动词，意思是“勉强、硬来、不可能”。</li><li>しなくても：动词“する”（做）的否定て形，表示“即使不做……也”。</li><li>大丈夫（だいじょうぶ）：形容动词，意思是“没问题、没关系”。</li><li>语法——「～しなくても大丈夫」结构意思为“即使不做……也可以/没关系”，适用于表达无需过度努力或不用勉强的场合。</li><li>文化——日常生活中，当他人太过勉强自己时，常用本句表达关心和体贴，劝对方不需要过度努力。</li></ol>,[sound:jlpt_vocabulary_in_sentence_無理.mp3]
サンドイッチ,三明治,朝ごはんにサンドイッチを食べました。,早餐我吃了三明治。,<ruby>朝ごはん<rt>あさごはん</rt></ruby>に<ruby>サンドイッチ<rt>さんどいっち</rt></ruby>を<ruby>食べました<rt>たべました</rt></ruby>。,<ol><li>朝ごはん（あさごはん）：早餐。</li><li>に：表示时间点，译为“在……（时）”。</li><li>サンドイッチ（さんどいっち）：三明治，外来语。</li><li>を：宾格助词，标示动作的对象。</li><li>食べました（たべました）：动词「食べる」的礼貌过去式，表示“吃了”。</li><li>日语表示动作顺序一般为“时间+に+对象+を+动词”，本句结构典型。</li></ol>,[sound:jlpt_vocabulary_in_sentence_サンドイッチ.mp3]
会議室,会议室,新しい会議室は二階にあります。,新的会议室在二楼。,<ruby>新しい<rt>あたらしい</rt></ruby><ruby>会議室<rt>かいぎしつ</rt></ruby>は<ruby>二階<rt>にかい</rt></ruby>に<ruby>あります<rt>あります</rt></ruby>。,<ol><li>新しい：形容词，意思是“新的”。</li><li>会議室（かいぎしつ）：名词，表示“会议室”。</li><li>は：主题助词，标明句子主题。</li><li>二階（にかい）：名词，意思是“两楼、二层”。</li><li>に：表示地点的助词，和“あります”搭配，表示某物存在于某处。</li><li>あります：动词，表示“有、存在（物体存在）”。</li><li>日语表达地点存在时常用「XはYにあります」，即“X在Y（场所）”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_会議室.mp3]
品物,物品,品物が届きました。,物品已经送达了。,<ruby>品物<rt>しなもの</rt></ruby>が<ruby>届きました<rt>とどきました</rt></ruby>。,<ol><li>品物（しなもの）：意思为“物品、商品”，可指日常用品、礼物等各类实物。</li><li>届きました（とどきました）：是动词“届く（とどく）”的敬体过去式，表示“送达、到达”。</li><li>が：助词，强调前面的主语，即“物品”这一主体。</li><li>用法说明：常用表达“品物が届く”，表示快递、邮寄等物品到达收件人。</li></ol>,[sound:jlpt_vocabulary_in_sentence_品物.mp3]
人形,人偶,彼は人形を大切にしています。,他很珍惜那个娃娃。,<ruby>彼は<rt>かれは</rt></ruby><ruby>人形<rt>にんぎょう</rt></ruby>を<ruby>大切に<rt>たいせつに</rt></ruby><ruby>しています<rt>しています</rt></ruby>。,<ol><li>彼（かれ）：他，男性第三人称。</li><li>人形（にんぎょう）：人偶、娃娃。</li><li>を：助词，标明动作的对象。</li><li>大切にする：固定表达，意为“珍惜”、“重视”。「大切に」为副词，「する」为动词。</li><li>しています：表示正在进行某动作，「しています」为敬体形式。其中「して」为动词「する」的连用形，「います」表示动作正在发生。</li></ol>,[sound:jlpt_vocabulary_in_sentence_人形.mp3]
利用,利用，使用,図書館を利用して勉強します。,我利用图书馆学习。,<ruby>図書館<rt>としょかん</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>利用して<rt>りようして</rt></ruby><ruby>勉強します<rt>べんきょうします</rt></ruby>。,<ol><li>図書館（としょかん）：图书馆。</li><li>を：助词，表示动作对象，是日语中标示宾语的助词。</li><li>利用して（りようして）：「利用する」的て形，表示“利用、使用”，这里与“して”连用，形成动作承接。</li><li>勉強します（べんきょうします）：“学习”的敬体形式。</li><li>本句型“〜を利用して〜します”用于表达通过某个手段来完成另一动作。</li></ol>,[sound:jlpt_vocabulary_in_sentence_利用.mp3]
飾る,装饰,部屋に花を飾る。,在房间里装饰花。,<ruby>部屋<rt>へや</rt></ruby>に<ruby>花<rt>はな</rt></ruby>を<ruby>飾る<rt>かざる</rt></ruby>。,<ol><li>部屋（へや）：房间。</li><li>に：表示动作的地点，相当于汉语的“在……”</li><li>花（はな）：花。</li><li>を：宾语助词，表示动作的对象。</li><li>飾る（かざる）：动词，意思是“装饰、点缀”。</li><li>语序：日语中宾语（花）在动词（飾る）前，助词“に”引导地点，“を”引导宾语。</li></ol>,[sound:jlpt_vocabulary_in_sentence_飾る.mp3]
止める,停止，停下,駅で車を止めます。,在车站把车停下。,<ruby>駅<rt>えき</rt></ruby>で<ruby>車<rt>くるま</rt></ruby>を<ruby>止めます<rt>とめます</rt></ruby>。,<ol><li>駅（えき）：车站。</li><li>で：表示地点，用于说明动作发生的场所。</li><li>車（くるま）：车辆，车。</li><li>を：宾语助词，表示动作的对象。</li><li>止めます（とめます）：动词「止める」的敬体形式，意思是“停下、停止”。</li><li>语法说明：「名词＋を＋止める」表示“使（某物）停止”，常用于交通工具等对象。「ます」是敬体结尾，表礼貌。</li></ol>,[sound:jlpt_vocabulary_in_sentence_止める.mp3]
恥ずかしい,害羞,彼は恥ずかしい顔をしました。,他露出了害羞的表情。,<ruby>彼<rt>かれ</rt></ruby>は<ruby>恥ずかしい<rt>はずかしい</rt></ruby><ruby>顔<rt>かお</rt></ruby>を<ruby>しました<rt>しました</rt></ruby>。,<ol><li>彼（かれ）：第三人称代词，意为“他”。</li><li>は：主题助词，表示句子的主题。</li><li>恥ずかしい（はずかしい）：形容词，意思为“害羞的、难为情的、羞涩的”。</li><li>顔（かお）：名词，意思为“脸、表情”。</li><li>を：宾语助词，表示动作的对象，这里是“表情”。</li><li>しました：动词“する”（做）的过去式礼貌形，表示动作已经完成。</li><li>句型“〇〇をします”表动作或产生某种表情。</li></ol>,[sound:jlpt_vocabulary_in_sentence_恥ずかしい.mp3]
いくら～ても,无论怎么…都…,いくら探しても見つかりませんでした。,无论怎么找都没有找到。,<ruby>いくら<rt>いくら</rt></ruby><ruby>探しても<rt>さがしても</rt></ruby><ruby>見つかりませんでした<rt>みつかりませんでした</rt></ruby>。,<ol><li>いくら～ても：表示“无论怎么……都……”的意思，常用于表达即使做某事多少次、多少努力，也不会改变结果。例如本句“いくら探しても”，即“无论怎么找”。</li><li>探して（さがして）：“探す”的て形。</li><li>見つかりませんでした：动词“見つかる”（找到）的否定过去式，表示“没有找到”。</li><li>句子结构：いくら＋动词て形＋も，后接表示结论的谓语部分。</li></ol>,[sound:jlpt_vocabulary_in_sentence_いくら～ても.mp3]
用事,事情,今日は用事があるので早く帰ります。,因为今天有事要做，所以我会早点回家。,<ruby>今日<rt>きょう</rt></ruby>は<ruby>用事<rt>ようじ</rt></ruby>があるので<ruby>早く<rt>はやく</rt></ruby><ruby>帰ります<rt>かえります</rt></ruby>。,<ol><li>今日（きょう）：今天。</li><li>は：主题助词，表示句子的主语或话题。</li><li>用事（ようじ）：事情、公事、私事等要处理的事务。</li><li>が：主语标记助词，表示存在的主语。</li><li>ある：有，存在（用于无生命物体或抽象事物）。</li><li>ので：表示原因，类似于“因为……所以……”</li><li>早く（はやく）：早地、早点。</li><li>帰ります（かえります）：回家、返回。</li><li>此句型“用事があるので”常用来婉转地表达有事在身，文化上常用于拒绝别人时表示客气。</li></ol>,[sound:jlpt_vocabulary_in_sentence_用事.mp3]
ビル,大楼,あのビルはとても高いです。,那栋大楼很高。,<ruby>あの<rt>あの</rt></ruby><ruby>ビル<rt>びる</rt></ruby>は<ruby>とても<rt>とても</rt></ruby><ruby>高い<rt>たかい</rt></ruby><ruby>です<rt>です</rt></ruby>。,<ol><li>あの：指示代词，表示离说话人和听话人都较远的事物，相当于“那”。</li><li>ビル：外来语，意为“大楼”或“建筑物”。日本日常用语多指现代高层建筑。</li><li>は：助词，主题标记，表示主语。</li><li>とても：副词，意为“很，非常”，用于强调性质或状态。</li><li>高い（たかい）：形容词，意为“高”。</li><li>です：礼貌语尾，用于陈述句结尾，使语气更委婉。</li><li>语法结构：主题（は）+ 形容词 + です，常用于简单叙述描述。</li></ol>,[sound:jlpt_vocabulary_in_sentence_ビル.mp3]
けんかする,吵架,友達とけんかすることはありますか。,你和朋友会吵架吗？,<ruby>友達<rt>ともだち</rt></ruby>と<ruby>けんかする<rt>けんかする</rt></ruby>ことはありますか。,<ol><li>友達（ともだち）：朋友。<br>と：和，用于并列名词连接。</li><li>けんかする：吵架、争吵，「する」为动词，表示动作。</li><li>こと：名词化助词，把前面的动词变为名词性用法。</li><li>は：主题助词，表示主语（主题）。</li><li>あります：有、发生，表示存在。这里「けんかすることがありますか」表示“有……的情况吗”。</li><li>语法：「动词原形+ことがある」表示“有过……的经验”或者“有……这种情况”。</li><li>日本社会中朋友之间如果发生吵架，许多人会主动和好，重视人际关系的和谐。</li></ol>,[sound:jlpt_vocabulary_in_sentence_けんかする.mp3]
頑張る,努力,毎日 頑張って 勉強しています。,我每天都在努力学习。,<ruby>毎日<rt>まいにち</rt></ruby> <ruby>頑張って<rt>がんばって</rt></ruby> <ruby>勉強しています<rt>べんきょうしています</rt></ruby>。,<ol><li>毎日（まいにち）：每天。</li><li>頑張って（がんばって）：「頑張る」的て形，表示努力做某事，此处作副词修饰后文动作。</li><li>勉強しています：表示正在学习。「しています」为「する」的ている形式，表示状态持续。</li><li>语法：「～て います」表示某动作正在进行或状态持续。</li></ol>,[sound:jlpt_vocabulary_in_sentence_頑張る.mp3]
投げる,投掷；扔,彼はボールを強く投げる。,他用力投球。,<ruby>彼は<rt>かれは</rt></ruby>ボールを<ruby>強く<rt>つよく</rt></ruby><ruby>投げる<rt>なげる</rt></ruby>。,<ol><li>彼（かれ）：他，指男性第三人称。</li><li>ボール：ball，指球。</li><li>を：助词，表示动作的对象（宾语标记）。</li><li>強く（つよく）：副词，表示用力地、强烈地。</li><li>投げる（なげる）：动词，意思是扔、投掷。原形动词，可用于现在和将来时表习惯或通用动作。</li><li>语序：日语常为“主语+宾语+动词”结构。</li></ol>,[sound:jlpt_vocabulary_in_sentence_投げる.mp3]
故障,故障，故障,このエレベーターは故障しています。,这个电梯发生故障了。,<ruby>この<rt>この</rt></ruby><ruby>エレベーター<rt>えれべーたー</rt></ruby><ruby>は<rt>は</rt></ruby><ruby>故障<rt>こしょう</rt></ruby><ruby>しています<rt>しています</rt></ruby>。,<ol><li>この：指代近处的事物，意思是“这个”。</li><li>エレベーター（えれべーたー）：外来词，表示“电梯”。</li><li>は：提示助词，表示主题。</li><li>故障（こしょう）：表示设备出现问题、无法正常运转，即“故障”。</li><li>しています：是“する”的ている形式，表示动作的持续，这里表示电梯正在处于故障状态。</li><li>语法知识：“〜ています”表示某种状态正在持续（状态持续用法）。</li></ol>,[sound:jlpt_vocabulary_in_sentence_故障.mp3]
力,力量,彼は力を入れて勉強しています。,他正在努力学习。,<ruby>彼<rt>かれ</rt></ruby>は<ruby>力<rt>ちから</rt></ruby>を<ruby>入れて<rt>いれて</rt></ruby><ruby>勉強<rt>べんきょう</rt></ruby><ruby>しています<rt>しています</rt></ruby>。,<ol><li>彼（かれ）：他，指代男性。</li><li>力（ちから）：力量、精力。这里表示努力、用功。</li><li>を：助词，标记宾语。</li><li>入れて（いれて）：动词“入れる”的て形，作连用表示动作方式，“注入、加进”。</li><li>勉強（べんきょう）：学习。</li><li>しています：正在做……，是“する”的ている形式，表示持续状态。</li><li>整句语法：“力を入れて”表示“努力做某事”，常用于表示很用心地去做一件事情。“〜ています”表示正在进行。</li></ol>,[sound:jlpt_vocabulary_in_sentence_力.mp3]
受ける,接受、受到,彼の意見を受けることにした。,我决定接受他的意见。,<ruby>彼<rt>かれ</rt></ruby>の<ruby>意見<rt>いけん</rt></ruby>を<ruby>受ける<rt>うける</rt></ruby>ことにした。,<ol><li>彼（かれ）：他，指代男性第三人称。</li><li>意見（いけん）：意见、看法。</li><li>を：宾格助词，表示动作对象。</li><li>受ける（うける）：接受、收到，这里指采纳意见。</li><li>ことにする：表示“决定做某事”，由动词基本形＋ことにする构成，表达说话人的决定。</li><li>した：する的过去式，表示已经做出的决定。</li></ol>,[sound:jlpt_vocabulary_in_sentence_受ける.mp3]
気分,心情,今日は気分がとてもいいです。,今天心情很好。,<ruby>今日は<rt>きょうは</rt></ruby><ruby>気分<rt>きぶん</rt></ruby><ruby>が<rt>が</rt></ruby><ruby>とても<rt>とても</rt></ruby><ruby>いい<rt>いい</rt></ruby><ruby>です。<rt>です。</rt></ruby>,<ol><li>今日は（きょうは）：表示今天，「は」是主题助词。</li><li>気分（きぶん）：指人的心情、情绪。</li><li>が：主格助词，标明主语。</li><li>とても：副词，意思是“非常”。</li><li>いい：形容词，表示“好、舒服”。</li><li>です：礼貌句尾，表达敬意。</li><li>整句语法：「気分がいい」表示心情愉快，日常口语常用表达法。</li></ol>,[sound:jlpt_vocabulary_in_sentence_気分.mp3]
間違える,弄错，搞错,彼は答えを間違えました。,他把答案弄错了。,<ruby>彼は<rt>かれは</rt></ruby><ruby>答えを<rt>こたえを</rt></ruby><ruby>間違えました<rt>まちがえました</rt></ruby>。,<ol><li>彼（かれ）：他，指男性。</li><li>は：助词，主语提示。</li><li>答え（こたえ）：答案、回答。</li><li>を：助词，表示动作的对象（宾语）。</li><li>間違える（まちがえる）：动词，意思是“弄错、搞错”，这里用ました为其敬体过去式。</li><li>日语中，动词变化时加入「ました」表示过去和敬语。</li></ol>,[sound:jlpt_vocabulary_in_sentence_間違える.mp3]
そんな,那样的,そんなことは言わないでください。,请不要说那样的话。,<ruby>そんな<rt>そんな</rt></ruby><ruby>こと<rt>こと</rt></ruby><ruby>は<rt>は</rt></ruby><ruby>言わないで<rt>いわないで</rt></ruby><ruby>ください<rt>ください</rt></ruby>。,<ol><li>そんな：指代前文或对方提到的「那样」「那种」。</li><li>こと：表示事情、事物，常与抽象内容搭配。</li><li>は：提示助词，标明主语或主题。</li><li>言わないでください：表示「请不要说」，这是动词否定て形+ください的礼貌请求表达。</li><li>该句型表达一种礼貌的否定请求。</li></ol>,[sound:jlpt_vocabulary_in_sentence_そんな.mp3]
星,星星,夜空に星がたくさん見えます。,夜空中可以看到许多星星。,<ruby>夜空<rt>よぞら</rt></ruby>に<ruby>星<rt>ほし</rt></ruby>がたくさん<ruby>見えます<rt>みえます</rt></ruby>。,<ol><li>夜空（よぞら）：夜晚的天空。</li><li>星（ほし）：星星。</li><li>に：表示作用或存在的场所。</li><li>が：主格助词，表示主语。</li><li>たくさん：许多，很多。</li><li>見えます（みえます）：动词“見える”（看见、看得见）的敬体形式。</li><li>语法：“〜に〜が見えます”是表达“在〜能看见〜”的固定用法。</li></ol>,[sound:jlpt_vocabulary_in_sentence_星.mp3]
場合,情况,雨の場合は中止します。,下雨的情况下就取消。,<ruby>雨<rt>あめ</rt></ruby>の<ruby>場合<rt>ばあい</rt></ruby>は<ruby>中止<rt>ちゅうし</rt></ruby><ruby>します<rt>します</rt></ruby>。,<ol><li>雨（あめ）：名词，表示“雨”。</li><li>の場合（ばあい）：接在名词后，表示“……的情况下、……时”。用来说明某种条件或情况发生时的处理方法。</li><li>は：助词，提示主题。</li><li>中止（ちゅうし）：名词，表示“中止、取消”。</li><li>します：动词“する”的ます形，作出行为。</li><li>本句语法“〜の場合（ばあい）は、〜します”常用于说明出现特定情况时采取的处理措施。常见于告知、公告、规则说明等正式场合。</li></ol>,[sound:jlpt_vocabulary_in_sentence_場合.mp3]
やっと,终于,やっと宿題が終わりました。,作业终于完成了。,やっと<ruby>宿題<rt>しゅくだい</rt></ruby>が<ruby>終わりました<rt>おわりました</rt></ruby>。,<ol><li>やっと：副词，表示经历长时间、努力后事情终于实现，常用于表达期待已久结果的到来。</li><li>宿題（しゅくだい）：名词，意思是“作业”。</li><li>終わりました（おわりました）：动词「終わる」的过去式，表示“结束了”、“完成了”。</li><li>が：表示主语或主题的小品词，连接“宿題”和后文的动词。</li><li>整体语法结构：“やっと”+动作结果，强调某事历经波折终于完成。</li></ol>,[sound:jlpt_vocabulary_in_sentence_やっと.mp3]
足りる,足够,お金が足りるか心配です。,我担心钱是否足够。,<ruby>お金<rt>おかね</rt></ruby>が<ruby>足りる<rt>たりる</rt></ruby>か<ruby>心配<rt>しんぱい</rt></ruby>です。,<ol><li>お金（おかね）：钱。</li><li>が：表示主语，助词。</li><li>足りる（たりる）：动词，表示“足够、够用”。</li><li>か：表示疑问，相当于“是否”。</li><li>心配（しんぱい）：担心、担忧。</li><li>です：礼貌句尾。</li><li>句型“〜が足りる”：表示某物是否足够，多用于数量或能力方面。</li></ol>,[sound:jlpt_vocabulary_in_sentence_足りる.mp3]
行う,进行,先生は会議を行います。,老师举行会议。,<ruby>先生<rt>せんせい</rt></ruby><ruby>は<rt>は</rt></ruby><ruby>会議<rt>かいぎ</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>行います<rt>おこないます</rt></ruby>。,<ol><li>先生（せんせい）：老师。</li><li>会議（かいぎ）：会议。</li><li>行います（おこないます）：动词「行う」的ます形，意思为“举办、进行、举行”。</li><li>は：主题助词，提示句子的主题。</li><li>を：宾语助词，表示动作的对象（这里指“会议”）。</li><li>语法知识：动作由句子主语执行。「〜を行う」表示“进行某事”。动词敬体形式（ます形）多用于礼貌场合。</li></ol>,[sound:jlpt_vocabulary_in_sentence_行う.mp3]
ぶどう,葡萄,私はぶどうが大好きです。,我非常喜欢葡萄。,<ruby>私<rt>わたし</rt></ruby>はぶどうが<ruby>大好き<rt>だいすき</rt></ruby>です。,<ol><li>私（わたし）：第一人称代词，表示“我”。<br>は：主题助词，标记句子的主题。<br>ぶどう：葡萄，水果名。<br>が：主语助词，这里表明喜欢的对象。<br>大好き（だいすき）：非常喜欢。<br>です：礼貌结句。</li><li>语法说明：<br>“～が好き（すき）です”表示喜欢某物；若要强调“非常喜欢”，可用“大好き（だいすき）です”。<br>主题和喜欢的对象间分别用“は”和“が”助词连结。</li></ol>,[sound:jlpt_vocabulary_in_sentence_ぶどう.mp3]
無くなる,消失,鍵が無くなってしまいました。,钥匙不见了。,<ruby>鍵<rt>かぎ</rt></ruby>が<ruby>無くなって<rt>なくなって</rt></ruby><ruby>しまいました<rt>しまいました</rt></ruby>。,<ol><li>鍵（かぎ）：名词，意思是“钥匙”。</li><li>が：助词，表示主语。</li><li>無くなる（なくなる）：动词，意思是“消失、丢失”。这里用“無くなって”是其て形。</li><li>しまいました：表示动作已经彻底完成，常带有遗憾或困扰的语气。在口语中常用「しまう」。</li><li>句子结构是“名词+が+無くなってしまいました”，表达“……弄丢了/不见了”的遗憾感。</li></ol>,[sound:jlpt_vocabulary_in_sentence_無くなる.mp3]
準備,准备,明日の会議の準備をしています。,我正在为明天的会议做准备。,<ruby>明日<rt>あした</rt></ruby>の<ruby>会議<rt>かいぎ</rt></ruby>の<ruby>準備<rt>じゅんび</rt></ruby>を<ruby>しています<rt>しています</rt></ruby>。,<ol><li>明日（あした）：明天。</li><li>会議（かいぎ）：会议。</li><li>準備（じゅんび）：准备。</li><li>の：表示所属、修饰关系（“的”）。</li><li>～をしています：“を”是宾语助词，表示动作的对象；“しています”为“する”的进行时，表示正在进行某动作。</li><li>句型“～の準備をしています”表示“正在为……做准备”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_準備.mp3]
世界,世界,彼は世界中を旅した。,他曾周游世界各地。,<ruby>彼<rt>かれ</rt></ruby>は<ruby>世界中<rt>せかいじゅう</rt></ruby>を<ruby>旅した<rt>たびした</rt></ruby>。,<ol><li>彼（かれ）：他，男性第三人称。</li><li>は：主题助词，表示主语。</li><li>世界中（せかいじゅう）：世界各地，“中”表示整个范围。</li><li>を：宾语助词，标记动作的对象。</li><li>旅した：动词“旅する”（旅行）的过去形，表示已经旅行。</li><li>语法：句子使用“～を旅する”表示周游、旅行遍某地。</li><li>文化补充：日本人常说“世界中を旅したい”，表达对世界探索渴望。</li></ol>,[sound:jlpt_vocabulary_in_sentence_世界.mp3]
住所,住处,新しい住所を教えてください。,请告诉我新的住处。,<ruby>新しい<rt>あたらしい</rt></ruby><ruby>住所<rt>じゅうしょ</rt></ruby>を<ruby>教えて<rt>おしえて</rt></ruby>ください。,<ol><li>新しい：形容词，意思是“新的”。</li><li>住所（じゅうしょ）：名词，意为住处、住址。</li><li>を：助词，标示动作的对象。</li><li>教えてください：是“教える（告诉）”的て形加ください，表示请对方做某事，有礼貌请求的意思。</li><li>句型“〜てください”表示请求或者指示对方做某事。</li></ol>,[sound:jlpt_vocabulary_in_sentence_住所.mp3]
再来月,下下个月,再来月は新しい仕事が始まります。,下下个月开始新工作。,<ruby>再来月<rt>さらいげつ</rt></ruby>は<ruby>新しい<rt>あたらしい</rt></ruby><ruby>仕事<rt>しごと</rt></ruby>が<ruby>始まります<rt>はじまります</rt></ruby>。,<ol><li>再来月（さらいげつ）：意思是“下下个月”，比下个月（来月 らいげつ）要再往后一个月。</li><li>新しい仕事（あたらしいしごと）：新工作。“新しい”为“新的”，“仕事”为“工作”。</li><li>始まります（はじまります）：动词“始まる”（开始）的礼貌形，表示事情正式开始。</li><li>主语助词“は”表示主题，が指动作发出者。</li></ol>,[sound:jlpt_vocabulary_in_sentence_再来月.mp3]
林,树林,林の中で小鳥が鳴いています。,树林里有小鸟在叫。,<ruby>林<rt>はやし</rt></ruby>の<ruby>中<rt>なか</rt></ruby>で<ruby>小鳥<rt>ことり</rt></ruby>が<ruby>鳴いています<rt>ないています</rt></ruby>。,<ol><li>林（はやし）：树林，常指人造或自然的成片树木群。</li><li>の：格助词，表示前后体词的所属关系，译为“的”。</li><li>中（なか）：表示某个范围内部。</li><li>で：助词，表示动作发生的场所，用于地点名词后。</li><li>小鳥（ことり）：小鸟。</li><li>が：主格助词，标记句子的主语。</li><li>鳴いています（ないています）：动词“鳴く”（动物鸣叫）的ている形，表示正在进行的动作，译为“正在叫”。</li><li>语法点：“〜ています”表示动作正在进行或状态持续。</li><li>文化补充：日本森林丰富，鸟类栖息，林间听鸟叫是常见景象。</li></ol>,[sound:jlpt_vocabulary_in_sentence_林.mp3]
倍,倍数,この箱は前の箱の三倍の大きさがあります。,这个箱子的大小是前一个箱子的三倍。,<ruby>この<rt>この</rt></ruby><ruby>箱<rt>はこ</rt></ruby>は<ruby>前<rt>まえ</rt></ruby>の<ruby>箱<rt>はこ</rt></ruby>の<ruby>三倍<rt>さんばい</rt></ruby>の<ruby>大きさ<rt>おおきさ</rt></ruby>が<ruby>あります<rt>あります</rt></ruby>。,<ol><li>この：表示近称，“这个”。</li><li>箱（はこ）：箱子。</li><li>は：主题助词，标记主语。</li><li>前（まえ）の箱：前一个箱子，“の”表示修饰关系。</li><li>三倍（さんばい）：三倍，数量词+“倍”表示几倍。</li><li>の：连接名词，表示属性或所属。</li><li>大きさ（おおきさ）：大小、尺寸。</li><li>が：主语标记助词，此处引出存在的事物。</li><li>あります：表示存在（用于无生命物体）。</li><li>语法：结构“ＡはＢのＮ倍です/あります”表示A在某方面是B的N倍。</li></ol>,[sound:jlpt_vocabulary_in_sentence_倍.mp3]
痩せる,变瘦,私は最近痩せました。,我最近瘦了。,<ruby>私<rt>わたし</rt></ruby>は<ruby>最近<rt>さいきん</rt></ruby><ruby>痩せました<rt>やせました</rt></ruby>。,<ol><li>私（わたし）：第一人称“我”。</li><li>は：主题助词，用于标记句子的主题。</li><li>最近（さいきん）：表示“最近、近来”。</li><li>痩せました（やせました）：动词“痩せる”（变瘦）的ます形过去时，表示动作已完成。“ました”是ます形的过去式表达。</li><li>语法：这是一个简单陈述句，结构为“主语+は+时态词+动词ます形过去式”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_痩せる.mp3]
線,线,この線をまっすぐ引いてください。,请把这条线直直地画出来。,<ruby>この<rt>この</rt></ruby><ruby>線<rt>せん</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>まっすぐ<rt>まっすぐ</rt></ruby><ruby>引いて<rt>ひいて</rt></ruby><ruby>ください<rt>ください</rt></ruby>。,<ol><li>この：指示词，意思是“这个”。</li><li>線（せん）：名词，意思是“线”。</li><li>を：助词，表宾语，连接名词与动词。</li><li>まっすぐ：副词，意思是“笔直地、直直地”。</li><li>引いて（ひいて）：动词“引く（ひく）”的て形，意思这里是“画线”。</li><li>ください：表示请求，动词て形加「ください」表达“请……”的语法形式。</li><li>整体语法结构是「名词+を+动词て形+ください」，用于礼貌请求对方做某事。</li></ol>,[sound:jlpt_vocabulary_in_sentence_線.mp3]
戦争,战争,戦争は多くの人に影響を与える。,战争会影响许多人。,<ruby>戦争<rt>せんそう</rt></ruby>は<ruby>多く<rt>おおく</rt></ruby>の<ruby>人<rt>ひと</rt></ruby>に<ruby>影響<rt>えいきょう</rt></ruby>を<ruby>与える<rt>あたえる</rt></ruby>。,<ol><li>戦争（せんそう）：战争。</li><li>多くの人（おおくのひと）：许多人。</li><li>影響（えいきょう）を与える（あたえる）：产生影响，带来影响，这里为动词短语。</li><li>は：主题助词，用于提示话题。</li><li>に：表示作用的对象。</li><li>を：宾格助词，表示动作的对象。</li><li>语法说明：「は」后接名词做主语，「を与える」构成谓语，这是一种基本的日语陈述句结构。</li></ol>,[sound:jlpt_vocabulary_in_sentence_戦争.mp3]
