Japanese,Chinese,Example_JP,Example_CN,Example_Furigana,Grammar_Notes,Audio_Path
黒,黑色,私の靴は黒です。,我的鞋是黑色的。,<ruby>私<rt>わたし</rt></ruby>の<ruby>靴<rt>くつ</rt></ruby>は<ruby>黒<rt>くろ</rt></ruby>です。,<ol><li>「AはBです」表示判断或说明事物，如「これは本です」。</li><li>「の」连接名词和名词，表示所属，如「私の猫」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_黒.mp3]
黒い,黑色的,黒い犬が道を歩いている。,一只黑色的狗在路上走。,<ruby>黒い<rt>くろい</rt></ruby><ruby>犬<rt>いぬ</rt></ruby>が<ruby>道<rt>みち</rt></ruby>を<ruby>歩いている<rt>あるいている</rt></ruby>。,<ol><li><ruby>い形容词<rt>いけいようし</rt></ruby>：修饰名词表性质，如「黒い犬」。</li><li>动词<ruby>ている<rt>ている</rt></ruby>：表示正在进行，如「歩いている」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_黒い.mp3]
警官,警察,警官が道を教えてくれました。,警官告诉了我路怎么走。,<ruby>警官<rt>けいかん</rt></ruby>が<ruby>道<rt>みち</rt></ruby>を<ruby>教えて<rt>おしえて</rt></ruby><ruby>くれました<rt>くれました</rt></ruby>。,<ol><li>助词「が」表示主语，用于引出动作的主体。例如：犬が走る。</li><li>动词「て形+くれる」表示别人为自己做某事，表达感谢或受惠。例如：友達が手伝ってくれる。</li></ol>,[sound:jlpt_vocabulary_in_sentence_警官.mp3]
今朝,今天早上,今朝は早く目が覚めました。,今天早上很早就醒了。,<ruby>今朝<rt>けさ</rt></ruby>は<ruby>早く<rt>はやく</rt></ruby><ruby>目<rt>め</rt></ruby>が<ruby>覚めました<rt>さめました</rt></ruby>。,<ol><li>助词「は」表示主题，如「今朝は」意为“今天早上”。</li><li>动词过去式「〜ました」表示过去发生，如「覚めました」意为“醒了”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_今朝.mp3]
消す,消除，擦掉,ホワイトボードの字を消す。,把白板上的字擦掉。,ホワイトボードの<ruby>字<rt>じ</rt></ruby>を<ruby>消す<rt>けす</rt></ruby>。,<ol><li>动词<ruby>を<rt></rt></ruby>表示动作的对象，如“字を消す”=“擦字”。</li><li><ruby>消す<rt>けす</rt></ruby>是他动词，表示人为去掉或使消失。</li></ol>,[sound:jlpt_vocabulary_in_sentence_消す.mp3]
結構,相当、很,このケーキは結構甘いですね。,这个蛋糕相当甜呢。,<ruby>この<rt>この</rt></ruby><ruby>ケーキ<rt>けーき</rt></ruby><ruby>は<rt>は</rt></ruby><ruby>結構<rt>けっこう</rt></ruby><ruby>甘い<rt>あまい</rt></ruby><ruby>ですね<rt>ですね</rt></ruby>。,<ol><li><ruby>結構<rt>けっこう</rt></ruby>可表示“相当、很”，作副词修饰形容词。例如：結構高い。</li><li>用于表达程度超出预期，比“少し”语气更强。</li></ol>,[sound:jlpt_vocabulary_in_sentence_結構.mp3]
結婚,结婚,二人は来月結婚します。,两人下个月结婚。,<ruby>二人<rt>ふたり</rt></ruby>は<ruby>来月<rt>らいげつ</rt></ruby><ruby>結婚<rt>けっこん</rt></ruby>します。,<ol><li>「<ruby>結婚<rt>けっこん</rt></ruby>します」为动词表达“结婚”。例：私は来週結婚します。</li><li>助词「は」用于提示主语。例：彼は学生です。</li></ol>,[sound:jlpt_vocabulary_in_sentence_結婚.mp3]
月曜日,星期一,月曜日は図書館に行きます。,星期一去图书馆。,<ruby>月曜日<rt>げつようび</rt></ruby>は<ruby>図書館<rt>としょかん</rt></ruby>に<ruby>行きます<rt>いきます</rt></ruby>。,<ol><li>助词「は」用于提示主题，如：<ruby>私は<rt>わたしは</rt></ruby>学生です。</li><li>表示时间的名词后可直接接助词用法：<ruby>月曜日<rt>げつようび</rt></ruby>に行きます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_月曜日.mp3]
玄関,门厅,玄関で靴を脱ぎます。,在门厅脱鞋。,<ruby>玄関<rt>げんかん</rt></ruby><ruby>で<rt>で</rt></ruby><ruby>靴<rt>くつ</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>脱ぎます<rt>ぬぎます</rt></ruby>。,<ol><li><ruby>で</ruby><rt>で</rt>：表示动作发生的场所，例如「公園で遊ぶ」。</li><li><ruby>を</ruby><rt>を</rt>：表动作对象的助词，例如「本を読む」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_玄関.mp3]
元気,精神、健康,彼はいつも元気です。,他总是很有精神。,<ruby>彼<rt>かれ</rt></ruby>はいつも<ruby>元気<rt>げんき</rt></ruby>です。,<ol><li>「<ruby>です<rt>です</rt></ruby>」为礼貌判断句，表示断定或描述。例如：「彼は学生です。」</li><li>副词「いつも」用于表示经常、总是，修饰动词或句子。</li></ol>,[sound:jlpt_vocabulary_in_sentence_元気.mp3]
～個,……个,りんごを三個ください。,请给我三个苹果。,りんごを<ruby>三個<rt>さんこ</rt></ruby>ください。,<ol><li><ruby>～個<rt>～こ</rt></ruby>：数量词，表示数“个”用于数小物件。例如：二個。</li><li><ruby>ください<rt>ください</rt></ruby>：用于请求或点东西，译为“请给我”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_～個.mp3]
五,五，5,五つりんごがあります。,有五个苹果。,<ruby>五つ<rt>いつつ</rt></ruby>りんごがあります。,<ol><li>数词“<ruby>五つ<rt>いつつ</rt></ruby>”表示数量5，用于数东西，例如：五つ。</li><li><ruby>あります</ruby>用于表示存在，用于无生命物体，例如：りんごがあります。</li></ol>,[sound:jlpt_vocabulary_in_sentence_五.mp3]
～語,……语,私は中国語を勉強しています。,我正在学习中文。,<ruby>私<rt>わたし</rt></ruby>は<ruby>中国語<rt>ちゅうごくご</rt></ruby>を<ruby>勉強<rt>べんきょう</rt></ruby><ruby>しています<rt>しています</rt></ruby>。,<ol><li><ruby>～語<rt>ご</rt></ruby>：表示“……语”。如：<ruby>英語<rt>えいご</rt></ruby>（英语）。</li><li>动词“勉強しています”表示正在学习某事。</li></ol>,[sound:jlpt_vocabulary_in_sentence_～語.mp3]
公園,公园,子供たちは公園で遊んでいます。,孩子们正在公园里玩耍。,<ruby>子供たち<rt>こどもたち</rt></ruby>は<ruby>公園<rt>こうえん</rt></ruby>で<ruby>遊んでいます<rt>あそんでいます</rt></ruby>。,<ol><li><ruby>で</ruby><rt>で</rt>：表示动作发生的场所。例如：家で食べる。</li><li><ruby>〜ています</ruby><rt>〜ています</rt>：表示动作正在进行。例如：読んでいます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_公園.mp3]
交差点,十字路口,交差点で信号を待っています。,我在十字路口等红绿灯。,<ruby>交差点<rt>こうさてん</rt></ruby>で<ruby>信号<rt>しんごう</rt></ruby>を<ruby>待っています<rt>まっています</rt></ruby>。,<ol><li><ruby>名詞<rt>めいし</rt></ruby>＋で：表示动作发生的场所。如：駅で会います。</li><li>动词<ruby>ている<rt>ている</rt></ruby>：表示正在进行。如：食べている。</li></ol>,[sound:jlpt_vocabulary_in_sentence_交差点.mp3]
紅茶,红茶,私は毎朝紅茶を飲みます。,我每天早上喝红茶。,<ruby>私<rt>わたし</rt></ruby>は<ruby>毎朝<rt>まいあさ</rt></ruby><ruby>紅茶<rt>こうちゃ</rt></ruby>を<ruby>飲みます<rt>のみます</rt></ruby>。,<ol><li>助词「を」表示动作的对象，如「紅茶を飲む」即“喝红茶”。</li><li><ruby>毎朝<rt>まいあさ</rt></ruby>表示“每天早上”，常作为时间状语。</li></ol>,[sound:jlpt_vocabulary_in_sentence_紅茶.mp3]
交番,派出所,交番は駅の近くにあります。,派出所在车站附近。,<ruby>交番<rt>こうばん</rt></ruby>は<ruby>駅<rt>えき</rt></ruby>の<ruby>近く<rt>ちかく</rt></ruby>に<ruby>あります<rt>あります</rt></ruby>。,<ol><li>「は」是主题助词，表示主语。例如：わたしは学生です。</li><li>「に あります」表存在物的位置。例如：本は机の上にあります。</li></ol>,[sound:jlpt_vocabulary_in_sentence_交番.mp3]
声,声音,先生の声がよく聞こえます。,老师的声音听得很清楚。,<ruby>先生<rt>せんせい</rt></ruby>の<ruby>声<rt>こえ</rt></ruby>がよく<ruby>聞こえます<rt>きこえます</rt></ruby>。,<ol><li><ruby>が</ruby><rt>が</rt>用于表示主语，例如：猫がいる（有猫）。</li><li><ruby>聞こえます</ruby><rt>きこえます</rt>是“听得见”，表示被动感受。</li></ol>,[sound:jlpt_vocabulary_in_sentence_声.mp3]
コート,外套,新しいコートを買いました。,我买了新外套。,<ruby>新しい<rt>あたらしい</rt></ruby>コートを<ruby>買いました<rt>かいました</rt></ruby>。,<ol><li>动词<ruby>ました<rt>ました</rt></ruby>：表示过去的礼貌式，如「買いました」（买了）。</li><li><ruby>を<rt>を</rt></ruby>：宾格助词，指动作的对象。</li></ol>,[sound:jlpt_vocabulary_in_sentence_コート.mp3]
コーヒー,咖啡,朝ごはんの後にコーヒーを飲みます。,早餐后会喝咖啡。,<ruby>朝ごはん<rt>あさごはん</rt></ruby>の<ruby>後<rt>あと</rt></ruby>にコーヒーを<ruby>飲みます<rt>のみます</rt></ruby>。,<ol><li>「〜の後に」为表示时间的接续，意为“在……之后”。例：勉強の後に休みます。</li><li>动词ます形可表示日常习惯。例：毎日水を飲みます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_コーヒー.mp3]
ここ,这里,ここは静かな場所です。,这里是安静的地方。,ここは<ruby>静かな<rt>しずかな</rt></ruby><ruby>場所<rt>ばしょ</rt></ruby>です。,<ol><li>「ここ」表示说话人所在的地方，例如：ここは図書館。</li><li>「は」作主题助词，提示主语，如：わたしは学生です。</li></ol>,[sound:jlpt_vocabulary_in_sentence_ここ.mp3]
午後,下午,午後に友だちと会います。,下午和朋友见面。,<ruby>午後<rt>ごご</rt></ruby>に<ruby>友だち<rt>ともだち</rt></ruby>と<ruby>会います<rt>あいます</rt></ruby>。,<ol><li><ruby>に</ruby><rt>に</rt>：表示动作发生的时间，如“午後に”意为“在下午”。</li><li><ruby>と</ruby><rt>と</rt>：表示动作的对象，如“友だちと”是“和朋友”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_午後.mp3]
九日,九号（日期）,九日には学校の行事があります。,九号有学校活动。,<ruby>九日<rt>ここのか</rt></ruby>には<ruby>学校<rt>がっこう</rt></ruby>の<ruby>行事<rt>ぎょうじ</rt></ruby>があります。,<ol><li>时间助词「に」用于具体日期表达时间点，如：<ruby>三日<rt>みっか</rt></ruby>に行く。</li><li>存在动词「あります」表示事物存在，例：イベントがあります。</li></ol>,[sound:jlpt_vocabulary_in_sentence_九日.mp3]
九つ,九个,りんごが九つ机の上にあります。,桌子上有九个苹果。,<ruby>りんご<rt>りんご</rt></ruby>が<ruby>九つ<rt>ここのつ</rt></ruby><ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>に<ruby>あります。<rt>あります。</rt></ruby>,<ol><li><ruby>九つ<rt>ここのつ</rt></ruby>：日语数量词，表示“九个”，多用于数小物品。例：<ruby>九つ<rt>ここのつ</rt></ruby>飴。</li><li><ruby>〜があります</ruby>：表示有某物。例：本があります。</li></ol>,[sound:jlpt_vocabulary_in_sentence_九つ.mp3]
午前,上午,午前七時に起きました。,我在上午七点起床。,<ruby>午前<rt>ごぜん</rt></ruby><ruby>七時<rt>しちじ</rt></ruby>に<ruby>起きました<rt>おきました</rt></ruby>。,<ol><li>时间表达：<ruby>午前<rt>ごぜん</rt></ruby>＋时间表示“上午”。例：<ruby>午前<rt>ごぜん</rt></ruby>八時。</li><li><ruby>に<rt></rt></ruby>用在具体时间点后表示“在……时”。例：八時に行きます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_午前.mp3]
答える,回答,先生の質問に答えるのが難しいです。,回答老师的问题很难。,<ruby>先生<rt>せんせい</rt></ruby>の<ruby>質問<rt>しつもん</rt></ruby>に<ruby>答える<rt>こたえる</rt></ruby>のが<ruby>難しい<rt>むずかしい</rt></ruby>です。,<ol><li>动词「答える」表示“回答、回应”，多用于回应用语。例：<ruby>問題<rt>もんだい</rt></ruby>に<ruby>答える<rt>こたえる</rt></ruby>。</li><li>助词「に」指明动作的对象。例：先生に<ruby>答える<rt>こたえる</rt></ruby>。</li></ol>,[sound:jlpt_vocabulary_in_sentence_答える.mp3]
こちら,这边,こちらにお座りください。,请坐在这边。,<ruby>こちら<rt>こちら</rt></ruby>に<ruby>お座り<rt>おすわり</rt></ruby><ruby>ください<rt>ください</rt></ruby>。,<ol><li><ruby>こちら<rt>こちら</rt></ruby>用于指说话人一方或靠近说话人的地方。<br>例：こちらは田中です。</li><li>「お～ください」表达礼貌请求。<br>例：お入りください。</li></ol>,[sound:jlpt_vocabulary_in_sentence_こちら.mp3]
こっち,这边,こっちに来てください。,请到这边来。,こっちに<ruby>来て<rt>きて</rt></ruby>ください。,<ol><li><ruby>こっち<rt>こっち</rt></ruby>：指说话人方向。例：こっちを見る。</li><li>动词て形＋ください：表示请求。例：座ってください。</li></ol>,[sound:jlpt_vocabulary_in_sentence_こっち.mp3]
コップ,杯子,コップに水を入れました。,我把水倒进了杯子里。,コップに<ruby>水<rt>みず</rt></ruby>を<ruby>入れました<rt>いれました</rt></ruby>。,<ol><li><ruby>に</ruby><rt>に</rt>：表示动作的目标，如“在杯子里”。例：箱に入れる。</li><li><ruby>を</ruby><rt>を</rt>：表示动作的对象。例：本を読む。</li></ol>,[sound:jlpt_vocabulary_in_sentence_コップ.mp3]
今年,今年,今年は新しいことを始めたいです。,今年我想开始新的事情。,<ruby>今年<rt>ことし</rt></ruby>は<ruby>新しい<rt>あたらしい</rt></ruby>ことを<ruby>始めたい<rt>はじめたい</rt></ruby>です。,<ol><li><ruby>は</ruby><rt>は</rt>：主题助词，表示主语或对比。如：私は学生です。</li><li>たい形：表达“想要做”的愿望，用在动词连用形后。如：食べたい。</li></ol>,[sound:jlpt_vocabulary_in_sentence_今年.mp3]
言葉,词语,新しい言葉を覚えるのは楽しい。,记住新词很有趣。,<ruby>新しい<rt>あたらしい</rt></ruby><ruby>言葉<rt>ことば</rt></ruby>を<ruby>覚える<rt>おぼえる</rt></ruby>のは<ruby>楽しい<rt>たのしい</rt></ruby>。,<ol><li>动词<ruby>辞書<rt>じしょ</rt></ruby>形+のは+形容词：表达“做某事很怎么样”。示例：“勉強するのは大変です”。</li><li><ruby>を<rt>を</rt></ruby>表示动作对象，前接名词。例：“本を読む”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_言葉.mp3]
子供,孩子,子供は元気に遊んでいます。,孩子正在有精神地玩耍。,<ruby>子供<rt>こども</rt></ruby>は<ruby>元気<rt>げんき</rt></ruby>に<ruby>遊んで<rt>あそんで</rt></ruby><ruby>います<rt>います</rt></ruby>。,<ol><li>助词「は」表示主题，例如：<ruby>子供<rt>こども</rt></ruby>は猫です。</li><li><ruby>〜ています<rt>ています</rt></ruby>表示动作正在进行，如：走っています。</li></ol>,[sound:jlpt_vocabulary_in_sentence_子供.mp3]
この,这个,この本はとても面白いです。,这本书非常有趣。,<ruby>この<rt>この</rt></ruby><ruby>本<rt>ほん</rt></ruby>は<ruby>とても<rt>とても</rt></ruby><ruby>面白い<rt>おもしろい</rt></ruby><ruby>です<rt>です</rt></ruby>。,<ol><li><ruby>この</ruby>是指示词，用于修饰名词，表示离说话人较近的事物，例如：この犬。</li><li>句型「この+名词」：表示“这个……”结构，常用于日常对话。</li></ol>,[sound:jlpt_vocabulary_in_sentence_この.mp3]
御飯,米饭,夜ご飯を早く食べました。,晚饭吃得很早。,<ruby>夜ご飯<rt>よごはん</rt></ruby>を<ruby>早く<rt>はやく</rt></ruby><ruby>食べました<rt>たべました</rt></ruby>。,<ol><li><ruby>を</ruby><rt>を</rt>：宾语助词，表示动作的对象，如「ご飯を食べる」。</li><li><ruby>ました</ruby><rt>ました</rt>：动词ます形过去式，表示过去发生的动作。</li></ol>,[sound:jlpt_vocabulary_in_sentence_御飯.mp3]
コピーする,复制,このファイルをコピーします。,我将复制这个文件。,<ruby>この<rt>この</rt></ruby><ruby>ファイル<rt>ふぁいる</rt></ruby>を<ruby>コピーします<rt>こぴーします</rt></ruby>。,<ol><li><ruby>を</ruby><rt>を</rt>：宾格助词，标记动作对象。例如：リンゴを食べる。</li><li>动词连用形＋<ruby>します</ruby><rt>します</rt>：表示正在做某事。如：勉強します。</li></ol>,[sound:jlpt_vocabulary_in_sentence_コピーする.mp3]
困る,为难,道に迷って困りました。,因为迷路了所以很为难。,<ruby>道<rt>みち</rt></ruby>に<ruby>迷って<rt>まよって</rt></ruby><ruby>困りました<rt>こまりました</rt></ruby>。,<ol><li>动词て形+<ruby>困る<rt>こまる</rt></ruby>：表示因前项状态而感到为难或困扰，如「雨が降って困る」。</li><li><ruby>困る<rt>こまる</rt></ruby>接在过去时，表达已经陷入困境，如本句「困りました」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_困る.mp3]
これ,这个,これは私の本です。,这是我的书。,<ruby>これ<rt>これ</rt></ruby>は<ruby>私<rt>わたし</rt></ruby>の<ruby>本<rt>ほん</rt></ruby>です。,<ol><li><ruby>これ</ruby>指示近处的东西或事物，表示“这个”。示例：<ruby>これは</ruby>ペンです。</li><li>助词<ruby>は</ruby>作主语提示，后接说明。示例：<ruby>私は</ruby>学生です。</li></ol>,[sound:jlpt_vocabulary_in_sentence_これ.mp3]
～ころ; ～ごろ,大约…时,毎日七時ごろに起きます。,我每天大约在七点起床。,<ruby>毎日<rt>まいにち</rt></ruby><ruby>七時<rt>しちじ</rt></ruby>ごろに<ruby>起きます<rt>おきます</rt></ruby>。,<ol><li><ruby>～ころ</ruby>／<ruby>～ごろ</ruby>用于表示大致时间点。例如：三時ごろ（大约三点）。</li><li>接在表示时刻的词后面，不可用于具体分钟。如：八時ごろ。</li></ol>,[sound:jlpt_vocabulary_in_sentence_～ころ; ～ごろ.mp3]
今月,本月,今月の予定は忙しいです。,本月的安排很忙。,<ruby>今月<rt>こんげつ</rt></ruby>の<ruby>予定<rt>よてい</rt></ruby>は<ruby>忙しい<rt>いそがしい</rt></ruby>です。,<ol><li>「の」用于名词之间，表示所属，如「今月の予定」= 本月的安排。</li><li>「です」为敬体终结语气词，常用于句末。</li></ol>,[sound:jlpt_vocabulary_in_sentence_今月.mp3]
今週,本周,今週は雨の日が多いです。,这周雨天很多。,<ruby>今週<rt>こんしゅう</rt></ruby>は<ruby>雨<rt>あめ</rt></ruby>の<ruby>日<rt>ひ</rt></ruby>が<ruby>多い<rt>おおい</rt></ruby>です。,<ol><li>助词「は」用来提示主题，例如「今週は」「私は」。</li><li>形容词「多い」描述数量多，可与名词搭配，如「雨の日が多い」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_今週.mp3]
こんな,这样的,こんな天気の日は散歩したい。,像这样的天气我想去散步。,<ruby>こんな<rt>こんな</rt></ruby><ruby>天気<rt>てんき</rt></ruby>の<ruby>日<rt>ひ</rt></ruby>は<ruby>散歩<rt>さんぽ</rt></ruby><ruby>したい<rt>したい</rt></ruby>。,<ol><li><ruby>こんな</ruby>用作连体词，表示举例“像这样的”。例：こんな人。</li><li>后接名词，修饰其性质或状态。例：こんな問題。</li></ol>,[sound:jlpt_vocabulary_in_sentence_こんな.mp3]
今晩,今晚,今晩は友達と食事します。,今晚和朋友吃饭。,<ruby>今晩<rt>こんばん</rt></ruby>は<ruby>友達<rt>ともだち</rt></ruby>と<ruby>食事<rt>しょくじ</rt></ruby>します。,<ol><li><ruby>は</ruby><rt>わ</rt>：主题助词，标记句子的主题。如：“私は学生です。”</li><li><ruby>と</ruby>：并列助词，表示“和”。如：“父と母。”</li></ol>,[sound:jlpt_vocabulary_in_sentence_今晩.mp3]
さあ,来，喂,さあ 出発しましょう。,来吧，出发吧。,さあ <ruby>出発<rt>しゅっぱつ</rt></ruby>しましょう。,<ol><li><ruby>さあ</ruby>：用于呼唤、催促别人做某事，例如“さあ 行こう”。</li><li><ruby>ましょう</ruby>：表示一起做某事，举例：“行きましょう”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_さあ.mp3]
～歳,几岁,妹は八歳になりました。,妹妹满八岁了。,<ruby>妹<rt>いもうと</rt></ruby>は<ruby>八歳<rt>はっさい</rt></ruby>に<ruby>なりました<rt>なりました</rt></ruby>。,<ol><li>助数词「<ruby>歳<rt>さい</rt></ruby>」用来表示年龄，如「三歳」表示三岁。</li><li>动词「<ruby>なる<rt>なる</rt></ruby>」用于表示状态变化，如「大人になる」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_～歳.mp3]
財布,钱包,新しい財布を買いました。,我买了一个新钱包。,<ruby>新しい<rt>あたらしい</rt></ruby><ruby>財布<rt>さいふ</rt></ruby>を<ruby>買いました<rt>かいました</rt></ruby>。,<ol><li>「<ruby>〜を<rt>〜を</rt></ruby> <ruby>買いました<rt>かいました</rt></ruby>」表示买了什么东西。例：本を買いました。</li><li>形容词「<ruby>新しい<rt>あたらしい</rt></ruby>」修饰名词。例：新しい本。</li></ol>,[sound:jlpt_vocabulary_in_sentence_財布.mp3]
魚,鱼,私は毎日魚を食べます。,我每天都吃鱼。,<ruby>私<rt>わたし</rt></ruby>は<ruby>毎日<rt>まいにち</rt></ruby><ruby>魚<rt>さかな</rt></ruby>を<ruby>食べます<rt>たべます</rt></ruby>。,<ol><li>「毎日」表示“每天”，时间副词常放句首。如：毎日勉強します。</li><li>「を」是宾语助词，标记动作的对象。如：りんごを食べる。</li></ol>,[sound:jlpt_vocabulary_in_sentence_魚.mp3]
先,首先,先に行ってください。,请先走。,<ruby>先<rt>さき</rt></ruby>に<ruby>行って<rt>いって</rt></ruby>ください。,<ol><li><ruby>先</ruby><rt>さき</rt>に～：表示“先做某事”。例：先に食べます。</li><li><ruby>ください</ruby>：用于请求对方做某事，有礼貌语气。例：見せてください。</li></ol>,[sound:jlpt_vocabulary_in_sentence_先.mp3]
咲く,开花,春になると桜が咲く。,到了春天樱花会开。,<ruby>春<rt>はる</rt></ruby>になると<ruby>桜<rt>さくら</rt></ruby>が<ruby>咲く<rt>さく</rt></ruby>。,<ol><li>动词「なる」表示“变成”某种状态，如：寒くなる。</li><li>「と」表示条件，意思是“一…就…”，如：ボタンを押すと、音が鳴る。</li></ol>,[sound:jlpt_vocabulary_in_sentence_咲く.mp3]
作文,写文章,私は毎日作文を書きます。,我每天写作文。,<ruby>私<rt>わたし</rt></ruby>は<ruby>毎日<rt>まいにち</rt></ruby><ruby>作文<rt>さくぶん</rt></ruby>を<ruby>書きます<rt>かきます</rt></ruby>。,<ol><li>「毎日」表示频率，意为“每天”。示例：毎日勉強します。</li><li>「を」是宾语助词，标记动作的对象。例：本を読みます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_作文.mp3]
差す,插，撑开,雨の日は傘を差します。,下雨天要撑伞。,<ruby>雨<rt>あめ</rt></ruby>の<ruby>日<rt>ひ</rt></ruby>は<ruby>傘<rt>かさ</rt></ruby>を<ruby>差します<rt>さします</rt></ruby>。,<ol><li><ruby>を</ruby><rt>を</rt></ruby>：表示动作的对象，如“傘を差す”（撑伞）。</li><li><ruby>ます形</ruby><rt>ますけい</rt></ruby>：动词<ruby>基础</ruby><rt>きそ</rt></ruby>敬语，表达礼貌。</li></ol>,[sound:jlpt_vocabulary_in_sentence_差す.mp3]
～冊,册（量词）,私は本を三冊読みました。,我读了三本书。,<ruby>私<rt>わたし</rt></ruby>は<ruby>本<rt>ほん</rt></ruby>を<ruby>三冊<rt>さんさつ</rt></ruby><ruby>読みました<rt>よみました</rt></ruby>。,<ol><li><ruby>～冊<rt>さつ</rt></ruby>：用于数书等有页的物品，如<span>一冊</span>、<span>三冊</span>。</li><li>日语数量词须紧跟在所计量对象后，如“本を三冊”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_～冊.mp3]
雑誌,杂志,私は毎月雑誌を買います。,我每个月都会买杂志。,<ruby>私<rt>わたし</rt></ruby>は<ruby>毎月<rt>まいつき</rt></ruby><ruby>雑誌<rt>ざっし</rt></ruby>を<ruby>買います<rt>かいます</rt></ruby>。,<ol><li>助词「を」表示动作的对象，如「雑誌を読む」表示“读杂志”。</li><li>动词ます形表示礼貌语气，例如「買います」=“买”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_雑誌.mp3]
砂糖,食用糖,コーヒーに砂糖を入れます。,我在咖啡里加糖。,<ruby>コーヒー<rt>こーひー</rt></ruby>に<ruby>砂糖<rt>さとう</rt></ruby>を<ruby>入れます<rt>いれます</rt></ruby>。,<ol><li>助词「に」表示动作的目的地，如：机に本を置きます。</li><li>助词「を」表示动作的对象，如：水を飲みます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_砂糖.mp3]
寒い,冷，寒冷,今日はとても寒いですね。,今天非常冷呢。,<ruby>今日<rt>きょう</rt></ruby>はとても<ruby>寒い<rt>さむい</rt></ruby>ですね。,<ol><li>「です」：表示礼貌结句，例如「今日は寒いです」。</li><li>「ね」：加在句末，表示确认、共鸣，如「寒いですね」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_寒い.mp3]
さ来年,后年,さ来年も旅行に行きたいです。,后年也想去旅行。,<ruby>さ来年<rt>さらいねん</rt></ruby>も<ruby>旅行<rt>りょこう</rt></ruby>に<ruby>行きたい<rt>いきたい</rt></ruby>です。,<ol><li>「さ来年」表示“后年”，是时间词，如：今年、来年、さ来年。</li><li>「たい形」表达愿望，如「行きたい」表示“想去”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_さ来年.mp3]
～さん,先生、小姐,田中さんは学校にいます。,田中先生在学校。,<ruby>田中<rt>たなか</rt></ruby><ruby>さん<rt>さん</rt></ruby><ruby>は<rt>は</rt></ruby><ruby>学校<rt>がっこう</rt></ruby><ruby>に<rt>に</rt></ruby><ruby>います<rt>います</rt></ruby>。,<ol><li><ruby>～さん<rt>さん</rt></ruby>是对他人的礼貌称呼，不能用于称自己。例如：田中さん。</li><li>一般用于姓氏或全名后，表达尊敬或礼貌。</li></ol>,[sound:jlpt_vocabulary_in_sentence_～さん.mp3]
三,三,りんごが三つあります。,有三个苹果。,りんごが<ruby>三つ<rt>みっつ</rt></ruby><ruby>あります<rt>あります</rt></ruby>。,<ol><li><ruby>数量词<rt>すうりょうし</rt></ruby>与助词<ruby>が<rt>が</rt></ruby>搭配，表达数量，如：二つがあります。</li><li>「あります」用于表示无生命物品的存在。例：本があります。</li></ol>,[sound:jlpt_vocabulary_in_sentence_三.mp3]
散歩,散步,毎朝公園で散歩します。,我每天早上在公园散步。,<ruby>毎朝<rt>まいあさ</rt></ruby><ruby>公園<rt>こうえん</rt></ruby>で<ruby>散歩<rt>さんぽ</rt></ruby>します。,<ol><li>「で」表示动作发生的场所，例如：公園で遊ぶ。</li><li>动词「します」可与名词合用，表达进行该名词的活动，如：食事します。</li></ol>,[sound:jlpt_vocabulary_in_sentence_散歩.mp3]
四,四,私は四つのりんごを買いました。,我买了四个苹果。,<ruby>私<rt>わたし</rt></ruby>は<ruby>四つ<rt>よっつ</rt></ruby>のりんごを<ruby>買いました<rt>かいました</rt></ruby>。,<ol><li>数量词“<ruby>四<rt>よっ</rt></ruby>つ”用于表示4个，后接名词，如“四つのりんご（四个苹果）”。</li><li>动词“买いました”为“买う”的过去式。</li></ol>,[sound:jlpt_vocabulary_in_sentence_四.mp3]
